AGULLANA;AJUNTAMENT D’AGULLANA (BAIXOS);C/ LLUÍS GOMIS NUM: 2 - AGULLANA (17707)
AIGUAVIVA;CASA DE LA VILA (BAIXOS);PLAÇA CONSTITUCIONAL NUM: 1 - AIGUAVIVA (17181)
ALBANYÀ;LOCAL POLIVALENT MUNICIPAL;C/ FIGUERES NUM: 15 - ALBANYÀ (17733)
ALBONS;SALA D’EXPOSICIONS MUNICIPAL;PLAÇA POBLE NUM: 1 - ALBONS (17136)
ALP;COL·LEGI ELECTORAL;PLCET CASINO (DEL) NUM: 1 - ALP (17538)
AMER;CASAL D’AMER;RBLA MONESTIR NUM: 6 - AMER (17170)
ANGLÈS;LLAR D’INFANTS MUNICIPAL;C/ JOAN COROMINAS (DE) S/N - ANGLÈS (17160)
ARBÚCIES;CEIP DR. CARULLA;AV PAÏSOS CATALANS S/N - ARBÚCIES (17401)
ARGELAGUER;CASAL D’ARGELAGUER;CTRA OLOT (D’) NUM: 35 - ARGELAGUER (17853)
ARMENTERA (L’);AJUNTAMENT DE L’ARMENTERA;CARRE PAU CASALS NUM: 2 - ARMENTERA (L’) (17472)
AVINYONET DE PUIGVENTÓS;CENTRE CIVIC;C/ AJUNTAMENT NUM: 4 - AVINYONET DE PUIGVENTÓS (17742)
BANYOLES;AJUNTAMENT DE BANYOLES (SALA DE SESSIONS);PG INDUSTRIA NUM: 25 - BANYOLES (17820)
BANYOLES;ATENEU. CENTRE MPAL. D’ESTUDIS MUSICALS;PLAÇA MAJOR NUM: 40 - BANYOLES (17820)
BANYOLES;ESCOLA MOSSEN BALDIRI REIXACH;C/ LLIBERTAT NUM: 76 - BANYOLES (17820)
BANYOLES;LA BALCA - CENTRE EDUCATIU MUNICIPAL;C/ MARIA MONTESSORI NUM: 20 - BANYOLES (17820)
BANYOLES;LOCAL ASSOCIACIO DE VEINS DE MAS PALAU;C/ SANT NARCIS NUM: 6 - BANYOLES (17820)
BANYOLES;LOCAL SOCIAL DEL BARRI DE CAN PUIG;C/ FIGUERES NUM: 45 - BANYOLES (17820)
BÀSCARA;AJUNTAMENT DE BÀSCARA (BAIXOS);PLAÇA MAJOR NUM: 2 - BÀSCARA (17483)
BEGUR;CASAL DE LA GENT GRAN;AV ONZE DE SETEMBRE NUM: 3 - BEGUR (17255)
BEGUR;ESCOLES VELLES (BAIXOS);CARRE BONAVENTURA CARRERAS NUM: 11 - BEGUR (17255)
BEGUR;LOCAL POLIVALENT D’ESCLANYA;CARRE PERDIU NUM: 3 - ARGILES (LES) - ESCLANYA - BEGUR (17213)
BELLCAIRE D’EMPORDÀ;Z AJUNTAMENT DE BELLCAIRE D’EMPORDÀ (SALA DE PLENS);PLAÇA COMTES D’EMPURIES NUM: 1 - BELLCAIRE D’EMPORDÀ (17141)
BESALÚ;PAVELLÓ MUNICIPAL;PG FRANCESC CAMBÓ NUM: 4 - BESALÚ (17850)
BESCANÓ;COL·LEGI PUBLIC SANTIAGO SOBREQUES;PLAÇA NACIONS NUM: 8 - BESCANÓ (17162)
BEUDA;ANTIGUES ESCOLES MUNICIPALS;PLAÇA MAJOR NUM: 4 - BEUDA (17850)
BISBAL D’EMPORDÀ (LA);K CASTELL MEDIEVAL;PLAÇA CASTELL NUM: 21 - BISBAL D’EMPORDÀ (LA) (17100)
BISBAL D’EMPORDÀ (LA);L COL·LEGI MAS CLARA;CARRE MAS CLARA NUM: 2 - BISBAL D’EMPORDÀ (LA) (17100)
BISBAL D’EMPORDÀ (LA);L EDIFICI MUNDIAL-BIBLIOTECA PÚBLICA;CARRE ESTACIO NUM: 2 - BISBAL D’EMPORDÀ (LA) (17100)
BISBAL D’EMPORDÀ (LA);L INSTITUT DE FORMACIO PROFESIONAL;CARRE COLL I VEHI NUM: 6 - BISBAL D’EMPORDÀ (LA) (17100)
BISBAL D’EMPORDÀ (LA);Z CAMP DELS CAPELLANS;CARRE RAMON DE CABRERA NUM: 19 - BISBAL D’EMPORDÀ (LA) (17100)
BISBAL D’EMPORDÀ (LA);Z CASTELL MEDIEVAL;PLAÇA CASTELL NUM: 21 - BISBAL D’EMPORDÀ (LA) (17100)
BISBAL D’EMPORDÀ (LA);Z COL·LEGI MAS CLARA;CARRE MAS CLARA NUM: 2 - BISBAL D’EMPORDÀ (LA) (17100)
BISBAL D’EMPORDÀ (LA);Z D.A.R.P. DE LA GENERALITAT DE CATALUNYA;AV PRESIDENT COMPANYS NUM: 19 - BISBAL D’EMPORDÀ (LA) (17100)
BISBAL D’EMPORDÀ (LA);Z EDIFICI MUNDIAL-BIBLIOTECA PÚBLICA;CARRE ESTACIO NUM: 2 - BISBAL D’EMPORDÀ (LA) (17100)
BISBAL D’EMPORDÀ (LA);Z INSTITUT DE FORMACIO PROFESIONAL;CARRE COLL I VEHI NUM: 6 - BISBAL D’EMPORDÀ (LA) (17100)
BIURE;CENTRE CIVIC;C/ FONT NUM: 2 - BIURE (17723)
BLANES;BIBLIOTECA COMARCAL;PG CATALUNYA NUM: 2 - BLANES (17300)
BLANES;CASA DE CULTURA;CARRE JAUME ARCELOS NUM: 7 - BLANES (17300)
BLANES;CASA SALADRIGAS;CARRE ROIG I RAVENTOS NUM: 2 - BLANES (17300)
BLANES;CEIP MOSSÉN JOAN BATLLE;CARRE LOPE DE VEGA NUM: 1 - BLANES (17300)
BLANES;CENTRE CULTURAL “ELS PADRETS”;CARRE SANT BONOS NUM: 5 - BLANES (17300)
BLANES;COL·LEGI NAPOLEO SOLIVA;CARRE ASTURIES NUM: 35 - BLANES (17300)
BLANES;COL·LEGI QUATRE VENTS;AV PAVOS (ELS) NUM: 54 - BLANES (17300)
BLANES;COL·LEGI SANTA MARIA;CARRE SANTA BARBARA NUM: 1 - BLANES (17300)
BLANES;I.E.S. S’AGULLA;CTRA MALGRAT NUM: 13 - BLANES (17300)
BLANES;LOCAL DE LA ASOCIACIÓN ANDALUZA DE ARDALEÑOS;CARRE MONT-FERRANT NUM: 1 - BLANES (17300)
BLANES;LOCAL SOCIAL DE LA CTRA. DE LLORET - LA PEDRERA;AV JOAN CARLES I NUM: 97 - BLANES (17300)
BLANES;LOCAL SOCIAL DELS PINS;CARRE FRANCESC MACIA NUM: 26 - BLANES (17300)
BLANES;LOCAL SOCIAL DE MAS BORINOT;CARRE CAMI SANT PERE DEL BOSC NUM: 2 - BLANES (17300)
BLANES;LOCAL SOCIAL DE MAS CREMAT;PLAÇA MAS CREMAT NUM: 1 - BLANES (17300)
BLANES;LOCAL SOCIAL DE MAS ENLAIRE;PLAÇA ONZE DE SETEMBRE NUM: 25 - BLANES (17300)
BLANES;LOCAL SOCIAL DE MAS FLORIT;CARRE BASSEGODA NUM: 2 - BLANES (17300)
BLANES;LOCAL SOCIAL DE RAVAL;CARRE PETIT RAVAL NUM: 5 - BLANES (17300)
BLANES;LOCAL SOCIAL DE VALLDOLIG;CARRE VALLDOLIG NUM: 23 - BLANES (17300)
BLANES;SALA EXPOSICIONS “M.LUISA GARCIA TORNEL”;CARRE AMPLE NUM: 11 - BLANES (17300)
BOADELLA I LES ESCAULES;AJUNTAMENT DE BOADELLA I LES ESCAULES (SALA DE PLENS);CARRE CREU (DE LA ) NUM: 1 - BOADELLA - BOADELLA I LES ESCAULES (17723)
BOLVIR;ESCOLA MUNICIPAL DE SANTA CECÍLIA;CARRE ESTARAGALLS NUM: 16 - RAVAL DEL CASTELL - BOLVIR (17539)
BORDILS;AJUNTAMENT DE BORDILS;PLAÇA ONZE DE SETEMBRE NUM: 1 - BORDILS (17462)
BORRASSÀ;AJUNTAMENT DE BORRASSA;PLAÇA MAJOR NUM: 1 - BORRASSÀ (17770)
BREDA;CENTRE CIVIC;AV VERGE DE MONTSERRAT NUM: 20 - BREDA (17400)
BRUNYOLA;CASA CONSISTORIAL (SALA D’ACTES - BAIXOS);PLAÇA BRUNYOLA NUM: 3 - BRUNYOLA (17441)
CABANELLES;AJUNTAMENT DE CABANELLES (BAIXOS);CARRE ESGLESIA NUM: 4 - CABANELLES (17746)
CABANES;CENTRE CULTURAL;CARRE COLON NUM: 11 - CABANES (17761)
CADAQUÉS;TEATRE ART I JOIA;PLAÇA ART I JOIA NUM: 1 - CADAQUÉS (17488)
CALDES DE MALAVELLA;COL·LEGI PUBLIC SANT ESTEVE;C/ VALL-LLOBERA NUM: 62 - CALDES DE MALAVELLA (17455)
CALONGE;PAVELLO POLIESPORTIU;PG HIVERN S/N - CALONGE (17251)
CALONGE;TEATRE ARTUR MUNDET;C/ GARBÍ NUM: 2A - SANT ANTONI DE CALONGE - CALONGE (17252)
CAMÓS;AJUNTAMENT DE CAMÓS;VENAT CRUANYES NUM: 2 - SANT VICENÇ DE CAMOS - CAMÓS (17834)
CAMPDEVÀNOL;COL.LEGI PIRINEU;CARRE COLL I BARDOLET NUM: 9 - CAMPDEVÀNOL (17530)
CAMPELLES;SALA DE L’AJUNTAMENT DE CAMPELLES (SEGONA PLANTA);PL AJUNTAMENT (DE L’) S/N - CAMPELLES (17534)
CAMPLLONG;AJUNTAMENT DE CAMPLLONG (SALA D’ACTES);C/ ESGLÉSIA NUM: 21 - CAMPLLONG (17459)
CAMPRODON;COL·LEGI PUBLIC DR.ROBERT;PLAÇA SANTA MARIA NUM: 8 - CAMPRODON (17867)
CANET D’ADRI;AJUNTAMENT DE CANET D’ADRI (BAIXOS);AV ROCACORBA NUM: 21 - CANET - CANET D’ADRI (17199)
CANTALLOPS;ESCOLES MUNICIPALS;C/ REQUESENS S/N - CANTALLOPS (17708)
CAPMANY;AJUNTAMENT DE CAPMANY;PLAÇA FORT (DEL) NUM: 1 - CAPMANY (17750)
CASSÀ DE LA SELVA;AJUNTAMENT DE CASSA DE LA SELVA;PLAÇA COMA (DE LA) NUM: 1 - CASSÀ DE LA SELVA (17244)
CASSÀ DE LA SELVA;CENTRE CULTURAL SALA GALÀ;C/ MOLI NUM: 9 - CASSÀ DE LA SELVA (17244)
CASSÀ DE LA SELVA;COL·LEGI PUBLIC;RBLA ONZE DE SETEMBRE NUM: 59 - CASSÀ DE LA SELVA (17244)
CASSÀ DE LA SELVA;LOCAL MUNICIPAL;C/ ENRIC CORIS NUM: 11 - CASSÀ DE LA SELVA (17244)
CASSÀ DE LA SELVA;SALA D’EXPOSICIONS L’ESTACIÓ;RBLA ONZE DE SETEMBRE NUM: 113 - CASSÀ DE LA SELVA (17244)
CASTELLFOLLIT DE LA ROCA;CENTRE CÍVIC;C/ MIGDIA NUM: 1 - CASTELLFOLLIT DE LA ROCA (17856)
CASTELLÓ D’EMPÚRIES;K CENTRE CIVIC D’EMPURIABRAVA;CARRE BADIA-GRAN RESERVA S/N - EMPURIABRAVA - CASTELLÓ D’EMPÚRIES (17487)
CASTELLÓ D’EMPÚRIES;K SALA MUNICIPAL;PLAÇA JOC DE LA PILOTA NUM: 1 - CASTELLÓ D’EMPÚRIES (17486)
CASTELLÓ D’EMPÚRIES;L CENTRE DE SERVEIS D’EMPURIABRAVA;CARRE PUIGMAL NUM: 1 - EMPURIABRAVA - CASTELLÓ D’EMPÚRIES (17487)
CASTELLÓ D’EMPÚRIES;Z CENTRE CIVIC D’EMPURIABRAVA;CARRE BADIA-GRAN RESERVA S/N - EMPURIABRAVA - CASTELLÓ D’EMPÚRIES (17487)
CASTELLÓ D’EMPÚRIES;Z CENTRE DE SERVEIS D’EMPURIABRAVA;CARRE PUIGMAL NUM: 1 - EMPURIABRAVA - CASTELLÓ D’EMPÚRIES (17487)
CASTELLÓ D’EMPÚRIES;Z SALA MUNICIPAL;PLAÇA JOC DE LA PILOTA NUM: 1 - CASTELLÓ D’EMPÚRIES (17486)
CASTELL-PLATJA D’ARO;CA LA GENEROSA;AV PLATJA D’ARO NUM: 228 - S’AGARO - CASTELL-PLATJA D’ARO (17248)
CASTELL-PLATJA D’ARO;PALAU D’ESPORTS I CONGRESSOS;PLAÇA EUROPA S/N - PLATJA D’ARO - CASTELL-PLATJA D’ARO (17250)
CASTELL-PLATJA D’ARO;SALA POLIVALENT DE CASTELL D’ARO;AV CARRILET (DEL) NUM: 71 - CASTELL D’ARO - CASTELL-PLATJA D’ARO (17249)
CELLERA DE TER (LA);AJUNTAMENT DE LA CELLERA DE TER;AV MONTSERRAT NUM: 20 - CELLERA DE TER (LA) (17165)
CELRÀ;CAN PONAC;C/ FÀBRICA NUM: 31 - CELRÀ (17460)
CERVIÀ DE TER;ESCOLA PUBLICA;C/ TORROELLA NUM: 49 - CERVIÀ DE TER (17464)
CISTELLA;AJUNTAMENT DE CISTELLA;PLAÇA MAJOR NUM: 4 - CISTELLA (17741)
COLERA;CENTRE CIVIC;CARRE MAR NUM: 49 - COLERA (17496)
COLOMERS;CENTRE CIVIC;PLAÇA CATALUNYA (DE) NUM: 1 - COLOMERS (17144)
CORÇÀ;CENTRE CÍVIC;AV SANTA CRISTINA NUM: 5 - (CORÇA (SANTA CRISTINA)) - CORÇÀ (17121)
CORNELLÀ DEL TERRI;AJUNTAMENT DE CORNELLÀ DEL TERRI;CARRE MOSSEN JACINT VERDAGUER NUM: 4 - CORNELLÀ DEL TERRI (17844)
CRESPIÀ;AJUNTAMENT DE CRESPIÀ (BAIXOS);CARRE MAJOR NUM: 2 - CRESPIÀ (17832)
CRUÏLLES, MONELLS I SANT SADURNÍ DE L’HEURA;CAN GERONÈS (BAIXOS);CARRE ESGLESIA MONELLS NUM: 13 - MONELLS - CRUÏLLES, MONELLS I SANT SADURNÍ DE L’HEURA (17121)
CRUÏLLES, MONELLS I SANT SADURNÍ DE L’HEURA;ESCOLES D’EGB;CARRE RAVAL NUM: 8 - BORDETA (LA) - CRUÏLLES - CRUÏLLES, MONELLS I SANT SADURNÍ DE L’HEURA (17116)
CRUÏLLES, MONELLS I SANT SADURNÍ DE L’HEURA;OFICINES MUNICIPALS;PLAÇA FONT NUM: 8 - SANT SADURNI - CRUÏLLES, MONELLS I SANT SADURNÍ DE L’HEURA (17118)
DARNIUS;AJUNTAMENT DE DARNIUS (BAIXOS);CARRE MAJOR NUM: 3 - DARNIUS (17722)
DAS;CASA CONSISTORIAL SALA COMUNITARIA DE REUNIONES;PG ROSSEND ARUS NUM: 3 - DAS (17538)
ESCALA (L’);CENTRE ESPORTIU I RECREATIU;CARRE GARBI NUM: 6 - ESCALA (L’) (17130)
ESCALA (L’);ESCOLA SECUNDARIA “EL PEDRO”;CARRE VILABERTRAN NUM: 2 - ESCALA (L’) (17130)
ESCALA (L’);LLAR DE JUBILATS;CARRE RUSIÑOL NUM: 1 - ESCALA (L’) (17130)
ESPINELVES;SALA D’EXPOSICIONS MUNICIPAL;PLAÇA ESGLÉSIA (DE L’) NUM: 1 - ESPINELVES (17405)
ESPOLLA;CASA DE LA VILA;CARRE AMADEU SUDRIA NUM: 3 - ESPOLLA (17753)
ESPONELLÀ;AJUNTAMENT D’ESPONELLA;PLAÇA AJUNTAMENT NUM: 1 - ESPONELLÀ (17832)
FAR D’EMPORDÀ (EL);Z NOU AJUNTAMENT DEL FAR D’EMPORDÀ (VESTÍBUL - BAIXOS);PLAÇA AJUNTAMENT NUM: 1 - FAR D’EMPORDÀ (EL) (17469)
FIGUERES;ANTIC AJUNTAMENT DE VILATENIM;CARRE NOU DE VILATENIM NUM: 13 - VILATENIM - FIGUERES (17484)
FIGUERES;ARXIU MUNICIPAL DE FIGUERES;CARRE MORERIA NUM: 9 - FIGUERES (17600)
FIGUERES;ASIL VILALLONGA;AV VILALLONGA NUM: 3 - FIGUERES (17600)
FIGUERES;CEIP SANT PAU;CARRE MUNTANER NUM: 4 - FIGUERES (17600)
FIGUERES;CENTRE CIVIC CREU DE LA MA;PLAÇA REMEI BOSCH SALAMO S/N - FIGUERES (17600)
FIGUERES;CENTRE CIVIC DE LA MARCA DE L’HAM;CARRE VILATENIM (VILATENIM) S/N - FIGUERES (17600)
FIGUERES;CENTRE SOCIAL DEL CULUBRET;CARRE MAJOR NUM: 39 - FIGUERES (17600)
FIGUERES;CENTRE SOCIAL DE L’EIXAMPLE;CARRE NARCIS SOLER NUM: 6 - FIGUERES (17600)
FIGUERES;CENTRE SOCIAL DE L’OLIVAR GRAN;CARRE PERE TEIXIDOR NUM: 8 - FIGUERES (17600)
FIGUERES;CENTRE SOCIAL HORTA CAPALLERA;CARRE PUIG ROM S/N - FIGUERES (17600)
FIGUERES;CENTRE SOCIAL JUNCARIA PARC BOSC;PTGE MARIANA PINEDA NUM: 5 - FIGUERES (17600)
FIGUERES;COL·LEGI JOAQUIM CUSI I FORTUNET;CARRE MET MIRAVITLLES NUM: 1 - FIGUERES (17600)
FIGUERES;COL·LEGI JOSEP PALLACH;CARRE FOSSOS NUM: 1 - FIGUERES (17600)
FIGUERES;EDIFICI DE SERVEIS MUNICIPALS;AV SALVADOR DALI DOMENECH NUM: 107 - FIGUERES (17600)
FIGUERES;FUNDACIO CLERCH I NICOLAU;CARRE NOU NUM: 53 - FIGUERES (17600)
FIGUERES;INSTITUT ALEXANDRE DEULOFEU;CARRE JOAQUIM CUSI I FORTUNET NUM: 3 - FIGUERES (17600)
FIGUERES;INSTITUT RAMON MUNTANER;CARRE SANT PAU NUM: 51 - FIGUERES (17600)
FIGUERES;LOCAL DE LA PARROQUIA DE SANT PERE;PLAÇA GALA I SALVADOR DALI NUM: 1 - FIGUERES (17600)
FIGUERES;LOCAL SOCIAL DE L’HORTA DE L’HOSPITAL;PLAÇA HORTA DE L’HOSPITAL NUM: 1 - FIGUERES (17600)
FIGUERES;LOCAL SOCIAL DEL RALLI SUD;CARRE POUS I PAGES NUM: 9 - FIGUERES (17600)
FIGUERES;LOCAL SOCIAL DELS CENDRASSOS;CARRE CENDRASSOS NUM: 36 - FIGUERES (17600)
FIGUERES;SALA D’ACTES DE LA BIBLIOTECA MUNICIPAL;CARRE MANUEL DE FALLA NUM: 1 - FIGUERES (17600)
